cidade;estado;area;num_quartos;num_banheiros;garagem;num_andares;aceita_animais;mobilia;valor_aluguel;valor_condominio;valor_iptu;valor_seguro_incendio
Sao Paulo;SP;70;2;1;1;7;Sim;Sim;3300;2065;211;42
Sao Paulo;SP;320;4;4;0;20;Sim;Nao;4960;1200;1750;63
Porto Alegre;RS;80;1;1;1;6;Sim;Nao;2800;1000;0;41
Porto Alegre;RS;51;2;1;0;2;Sim;Nao;1112;270;22;17
Sao Paulo;SP;25;1;1;0;1;Nao;Nao;800;0;25;11
Sao Paulo;SP;376;3;3;7;1;Sim;Nao;8000;0;834;121
Rio De Janeiro;RJ;72;2;1;0;7;Sim;Nao;1900;740;85;25
Sao Paulo;SP;;4;4;4;4;Sim;Nao;3223;2254;1735;41
Sao Paulo;SP;152;2;2;1;3;Sim;Sim;15000;1000;250;191
Rio De Janeiro;RJ;35;1;1;0;2;Sim;Sim;2300;590;35;30
Sao Paulo;SP;26;1;1;0;2;Sim;Sim;2100;470;150;27
Campinas;SP;46;1;1;1;10;Sim;Nao;580;550;43;8
Sao Paulo;SP;36;1;1;0;11;Sim;Nao;2100;359;70;27
Sao Paulo;SP;55;1;1;1;2;Sim;Sim;4200;790;224;54
Sao Paulo;SP;100;2;2;2;24;Sim;Sim;4370;900;17;56
Campinas;SP;330;4;6;6;1;Sim;Sim;8000;680;328;121
Sao Paulo;SP;110;2;2;1;1;Sim;Nao;3000;700;122;39
Rio De Janeiro;RJ;88;2;3;1;9;Nao;Sim;3500;1614;221;16
Rio De Janeiro;RJ;56;2;1;0;8;Sim;Nao;1220;800;0;16
Sao Paulo;SP;600;4;5;6;1;Sim;Nao;12000;0;9500;181
Sao Paulo;SP;100;7;4;0;1;Sim;Nao;3800;0;118;58
Belo Horizonte;MG;;1;1;1;17;Nao;Sim;2690;470;172;36
Sao Paulo;SP;160;3;2;2;18;Sim;Sim;1900;1530;167;25
Sao Paulo;SP;35;1;1;0;1;Sim;Nao;1100;0;3;14
Rio De Janeiro;RJ;90;3;2;1;7;Sim;Nao;1800;800;118;24
Sao Paulo;SP;49;1;1;1;10;Sim;Nao;3500;480;42;45
Sao Paulo;SP;41;1;1;1;5;Nao;Sim;3000;600;0;39
Belo Horizonte;MG;64;2;2;1;11;Sim;Nao;1500;352;80;20
Campinas;SP;208;3;2;4;1;Sim;Nao;3180;0;100;48
Sao Paulo;SP;20;1;1;0;5;Sim;Sim;1800;602;130;23
Sao Paulo;SP;55;2;2;2;6;Sim;Nao;1068;780;142;14
Sao Paulo;SP;32;1;1;0;3;Sim;Nao;1700;515;29;22
Sao Paulo;SP;80;2;2;1;11;Sim;Nao;2550;1208;216;33
Rio De Janeiro;RJ;45;1;1;1;10;Sim;Sim;2500;2450;593;33
Sao Paulo;SP;350;4;4;3;8;Sim;Nao;4000;2100;500;51
Porto Alegre;RS;38;1;1;2;11;Nao;Nao;1750;450;0;26
Sao Paulo;SP;30;1;1;0;1;Sim;Nao;1600;460;0;21
Belo Horizonte;MG;80;3;2;1;1;Sim;Nao;11000;0;425;181
Sao Paulo;SP;70;2;1;0;1;Nao;Nao;1150;0;59;18
Porto Alegre;RS;40;1;1;1;6;Sim;Sim;2990;390;0;44
Sao Paulo;SP;300;4;6;4;20;Sim;Nao;12000;3700;1584;153
Sao Paulo;SP;240;3;2;3;1;Sim;Nao;3500;0;292;53
Belo Horizonte;MG;200;4;2;1;7;Nao;Nao;2550;850;9;34
Belo Horizonte;MG;45;1;1;1;5;Sim;Nao;1631;500;192;12
Sao Paulo;SP;360;4;5;0;1;Sim;Nao;6410;4000;2000;82
Sao Paulo;SP;40;1;1;1;10;Sim;Sim;2829;978;0;33
Belo Horizonte;MG;100;3;1;0;13;Nao;Nao;1220;700;10;17
Porto Alegre;RS;42;1;1;2;2;Sim;Sim;1770;190;17;26
Campinas;SP;250;3;3;2;1;Sim;Nao;1700;2200;256;22
Campinas;SP;48;1;1;1;2;Sim;Sim;1600;505;59;21
Rio De Janeiro;RJ;90;3;3;1;10;Sim;Nao;3800;1250;147;49
Sao Paulo;SP;45;1;2;1;15;Sim;Sim;3900;856;150;50
Rio De Janeiro;RJ;150;2;3;4;6;Sim;Nao;4000;1700;700;52
Sao Paulo;SP;60;2;1;0;2;Sim;Nao;1445;200;0;19
Sao Paulo;SP;31;1;1;0;4;Sim;Nao;2350;370;56;30
Sao Paulo;SP;210;4;5;4;4;Nao;Nao;9000;1650;772;115
Sao Paulo;SP;280;3;1;2;1;Sim;Nao;6000;0;113;91
Campinas;SP;93;2;3;2;9;Sim;Nao;5500;663;133;70
Porto Alegre;RS;75;3;2;1;9;Sim;Nao;1800;340;109;27
Sao Paulo;SP;194;3;4;3;1;Sim;Nao;4000;0;70;61
Sao Paulo;SP;41;1;1;1;6;Sim;Sim;4000;523;131;51
Rio De Janeiro;RJ;65;1;1;1;8;Sim;Sim;5100;2000;250;66
Sao Paulo;SP;70;2;1;1;13;Sim;Nao;2150;761;67;28
Sao Paulo;SP;278;4;5;2;16;Sim;Sim;9000;4052;1261;115
Rio De Janeiro;RJ;35;1;1;0;5;Sim;Nao;1521;306;21;20
Campinas;SP;300;4;4;3;2;Sim;Nao;6000;2300;417;77
Sao Paulo;SP;61;2;1;1;4;Sim;Nao;1850;459;0;24
Rio De Janeiro;RJ;130;3;2;1;7;Sim;Nao;1700;1660;475;22
Rio De Janeiro;RJ;80;2;1;1;;Sim;Nao;900;500;90;12
Sao Paulo;SP;164;4;4;2;6;Nao;Nao;5000;2159;386;64
Belo Horizonte;MG;220;4;2;3;3;Sim;Nao;2422;450;125;33
Sao Paulo;SP;45;1;1;0;1;Sim;Nao;1050;0;46;16
Sao Paulo;SP;108;3;2;2;7;Sim;Nao;5600;1290;435;71
Belo Horizonte;MG;128;1;1;0;4;Sim;Sim;2100;418;182;28
Rio De Janeiro;RJ;60;1;1;0;10;Nao;Nao;1800;450;48;24
Sao Paulo;SP;250;4;5;4;6;Sim;Nao;9800;2050;998;125
Porto Alegre;RS;47;1;1;1;1;Nao;Sim;2200;400;0;33
Belo Horizonte;MG;170;4;3;4;9;Nao;Nao;2700;744;296;36
Sao Paulo;SP;45;1;1;0;1;Nao;Nao;1240;300;0;16
Sao Paulo;SP;42;1;1;1;15;Sim;Nao;3500;686;123;45
Sao Paulo;SP;164;4;4;3;1;Sim;Nao;6000;1840;550;77
Sao Paulo;SP;70;3;1;1;1;Sim;Nao;1020;700;200;13
Porto Alegre;RS;100;4;3;1;8;Sim;Nao;2200;600;159;33
Sao Paulo;SP;64;2;2;2;4;Sim;Sim;4500;1300;440;58
Belo Horizonte;MG;68;2;1;1;3;Sim;Nao;1200;320;27;16
Belo Horizonte;MG;75;2;2;2;14;Nao;Nao;2500;620;264;34
Sao Paulo;SP;600;4;4;4;9;Sim;Nao;8500;7400;3368;108
Sao Paulo;SP;63;2;2;0;15;Nao;Nao;1550;590;152;20
Sao Paulo;SP;145;3;4;3;1;Nao;Nao;6000;1200;750;77
Sao Paulo;SP;85;2;2;2;3;Nao;Nao;2800;1500;292;36
Sao Paulo;SP;254;4;4;4;7;Sim;Nao;9000;3366;1800;115
Porto Alegre;RS;350;4;4;4;1;Sim;Sim;9000;1;359;160
Sao Paulo;SP;300;4;4;3;1;Sim;Nao;3500;0;584;53
Belo Horizonte;MG;296;4;3;2;1;Sim;Nao;13500;0;423;222
Sao Paulo;SP;64;2;2;2;8;Sim;Nao;2800;450;30;36
Sao Paulo;SP;133;3;2;0;6;Sim;Nao;2957;813;38;38
Campinas;SP;44;1;1;0;7;Sim;Nao;550;350;12;7
Campinas;SP;240;3;4;2;1;Sim;Nao;3000;0;250;46
Porto Alegre;RS;70;3;2;1;4;Sim;Nao;2500;490;8;37
Sao Paulo;SP;22;1;1;0;26;Sim;Nao;2050;302;45;26
Porto Alegre;RS;50;1;1;1;1;Sim;Nao;950;350;50;14
Porto Alegre;RS;67;3;2;2;4;Sim;Nao;2200;600;50;33
Sao Paulo;SP;31;1;1;0;6;Sim;Sim;2300;430;0;30
Rio De Janeiro;RJ;90;2;1;1;1;Sim;Sim;3468;850;191;45
Rio De Janeiro;RJ;109;3;3;1;1;Sim;Nao;3800;2000;300;49
Belo Horizonte;MG;;4;2;2;1;Nao;Nao;2500;0;74;41
Sao Paulo;SP;300;4;5;4;1;Sim;Sim;14000;0;1167;211
Campinas;SP;284;4;3;3;4;Sim;Nao;6000;2340;483;77
Porto Alegre;RS;70;2;1;1;3;Sim;Sim;2400;360;30;36
Rio De Janeiro;RJ;309;4;5;4;7;Sim;Nao;6500;2661;682;84
Sao Paulo;SP;70;2;1;0;1;Sim;Nao;2100;0;134;32
Sao Paulo;SP;360;3;4;1;10;Sim;Nao;10000;2300;584;127
Sao Paulo;SP;30;1;1;1;10;Nao;Nao;1500;886;0;20
Campinas;SP;80;2;2;2;11;Sim;Nao;2200;832;171;28
Belo Horizonte;MG;133;4;4;3;6;Nao;Nao;7000;1500;800;94
Sao Paulo;SP;38;1;1;1;14;Nao;Sim;2800;1620;279;36
Sao Paulo;SP;73;2;2;1;7;Sim;Nao;3500;1100;100;45
Sao Paulo;SP;155;3;4;2;4;Sim;Nao;2000;1500;150;26
Sao Paulo;SP;63;2;2;1;15;Sim;Nao;3200;357;50;41
Sao Paulo;SP;58;2;1;1;1;Sim;Nao;1400;0;0;18
Sao Paulo;SP;48;1;1;0;9;Nao;Sim;3450;377;0;44
Sao Paulo;SP;210;3;4;3;7;Sim;Nao;2790;1700;834;36
Belo Horizonte;MG;100;3;2;2;2;Sim;Nao;1600;340;183;22
Sao Paulo;SP;94;3;2;2;1;Sim;Nao;3570;1337;140;46
Sao Paulo;SP;94;3;3;2;3;Sim;Sim;5010;1220;395;64
Sao Paulo;SP;76;3;1;1;4;Sim;Nao;2500;1200;267;32
Sao Paulo;SP;192;3;3;2;13;Sim;Nao;7800;2100;634;99
Sao Paulo;SP;217;3;4;3;1;Sim;Nao;6500;2884;0;83
Sao Paulo;SP;68;2;1;1;5;Sim;Nao;1400;610;35;18
Sao Paulo;SP;110;3;2;2;2;Sim;Nao;2400;1145;247;31
Belo Horizonte;MG;95;2;2;1;3;Sim;Nao;1600;660;164;22
Sao Paulo;SP;900;4;6;8;1;Sim;Nao;15000;0;4417;226
Sao Paulo;SP;34;1;1;0;5;Nao;Nao;1200;347;45;16
Sao Paulo;SP;192;3;4;3;5;Sim;Nao;8000;2000;0;102
Porto Alegre;RS;62;2;2;1;9;Sim;Nao;1800;350;75;27
Sao Paulo;SP;180;3;3;4;1;Sim;Nao;3700;0;184;56
Campinas;SP;44;1;1;0;3;Sim;Sim;916;350;12;12
Belo Horizonte;MG;100;2;1;1;1;Nao;Nao;1700;250;116;23
Rio De Janeiro;RJ;140;3;3;1;24;Nao;Nao;1370;900;100;18
Sao Paulo;SP;170;3;3;3;8;Sim;Sim;2800;1570;648;36
Sao Paulo;SP;100;3;2;2;1;Nao;Nao;1600;0;150;25
Sao Paulo;SP;75;3;2;2;4;Sim;Nao;1600;652;82;21
Rio De Janeiro;RJ;52;2;1;0;2;Sim;Nao;1200;200;43;16
Campinas;SP;999;5;7;8;1;Sim;Nao;14000;0;667;211
Sao Paulo;SP;270;4;4;4;8;Sim;Nao;7000;2200;1500;89
Belo Horizonte;MG;50;2;1;1;1;Sim;Nao;930;160;60;13
Campinas;SP;200;3;3;2;1;Sim;Nao;2210;650;184;34
Sao Paulo;SP;71;2;2;0;16;Sim;Nao;1920;430;100;25
Sao Paulo;SP;500;5;4;6;1;Sim;Nao;13000;0;250;196
Sao Paulo;SP;60;2;1;0;1;Sim;Nao;1080;0;94;17
Sao Paulo;SP;110;2;1;0;8;Sim;Nao;1300;1100;84;17
Sao Paulo;SP;210;3;3;4;1;Sim;Nao;3294;0;276;50
Sao Paulo;SP;220;3;4;3;8;Sim;Nao;6000;2021;996;77
Belo Horizonte;MG;200;3;2;5;1;Nao;Nao;4000;0;204;66
Sao Paulo;SP;130;3;4;3;2;Sim;Nao;4250;2300;502;54
Sao Paulo;SP;65;2;2;2;7;Sim;Sim;4000;1037;245;51
Sao Paulo;SP;96;3;2;2;17;Sim;Nao;3200;804;250;41
Sao Paulo;SP;660;4;5;5;12;Sim;Sim;20000;4800;1750;254
Rio De Janeiro;RJ;107;3;2;0;7;Sim;Sim;3200;1460;270;42
Rio De Janeiro;RJ;105;3;2;0;1;Sim;Nao;2200;740;9;29
Rio De Janeiro;RJ;100;3;2;0;7;Sim;Nao;3290;900;109;43
Sao Paulo;SP;287;3;4;4;1;Sim;Sim;9000;0;430;136
